year,month,month_num,symbol,first_close,last_close,monthly_return
2023,October,10,ADANIENT,2387.25,2294.65,-3.878940203162631
2023,October,10,ADANIPORTS,831.4,784.75,-5.611017560740916
2023,October,10,APOLLOHOSP,5118.95,4819.9,-5.842018382676138
2023,October,10,ASIANPAINT,3166.85,2995.7,-5.404423954402643
2023,October,10,AXISBANK,1041.05,981.85,-5.686566447336817
2023,October,10,BAJAJ-AUTO,5016.45,5314.05,5.932482133779872
2023,October,10,BAJAJFINSV,1561.05,1569.55,0.5445053009192531
2023,October,10,BAJFINANCE,7967.6,7492.65,-5.961017119333309
2023,October,10,BEL,139.2,133.25,-4.274425287356314
2023,October,10,BHARTIARTL,925.3,914.4,-1.1779963255160464
2023,October,10,BPCL,170.68,174.63,2.3142723224747996
2023,October,10,BRITANNIA,4495.45,4426.5,-1.5337730371820357
2023,October,10,CIPLA,1182.8,1200.0,1.4541765302671665
2023,October,10,COALINDIA,291.9,314.25,7.65673175745119
2023,October,10,DRREDDY,1092.34,1073.51,-1.7238222531446186
2023,October,10,EICHERMOT,3351.4,3295.55,-1.6664677448230563
2023,October,10,GRASIM,1913.84,1879.23,-1.808406136354131
2023,October,10,HCLTECH,1238.7,1276.0,3.011221441834177
2023,October,10,HDFCBANK,1508.05,1476.5,-2.0921056994131466
2023,October,10,HDFCLIFE,633.55,618.35,-2.3991792281587774
2023,October,10,HEROMOTOCO,3015.6,3088.35,2.412455232789495
2023,October,10,HINDALCO,479.95,459.5,-4.260860506302738
2023,October,10,HINDUNILVR,2468.9,2484.0,0.6116084086030179
2023,October,10,ICICIBANK,940.3,915.35,-2.6534084866531886
2023,October,10,INDUSINDBK,1435.4,1441.3,0.41103525149783077
2023,October,10,INFY,1434.0,1368.4,-4.57461645746164
2023,October,10,ITC,439.75,428.4,-2.5810119386014834
2023,October,10,JSWSTEEL,770.25,736.35,-4.40116845180136
2023,October,10,KOTAKBANK,1727.05,1739.4,0.7150922092585702
2023,October,10,LT,3073.25,2929.05,-4.692101195802483
2023,October,10,M&M,1537.4,1458.6,-5.125536620267996
2023,October,10,MARUTI,10346.9,10392.3,0.43877876465414406
2023,October,10,NESTLEIND,2231.52,2423.48,8.602208360220837
2023,October,10,NTPC,241.2,235.8,-2.2388059701492447
2023,October,10,ONGC,184.6,186.15,0.839653304442043
2023,October,10,POWERGRID,199.55,202.15,1.3029315960912022
2023,October,10,RELIANCE,1159.08,1143.95,-1.3053456189391486
2023,October,10,SBILIFE,1292.45,1367.85,5.833881388061423
2023,October,10,SBIN,602.95,565.55,-6.202836056057731
2023,October,10,SHRIRAMFIN,1921.95,1879.85,-2.1904836234033214
2023,October,10,SUNPHARMA,1141.45,1088.6,-4.630075780805129
2023,October,10,TATACONSUM,861.2,889.44,3.279145378541571
2023,October,10,TATAMOTORS,620.45,628.65,1.321621403819797
2023,October,10,TATASTEEL,128.0,118.75,-7.2265625
2023,October,10,TCS,3513.85,3368.75,-4.1293737638203085
2023,October,10,TECHM,1216.2,1133.15,-6.828646604176941
2023,October,10,TITAN,3196.25,3189.65,-0.2064919827923319
2023,October,10,TRENT,2059.1,2154.7,4.642805109028212
2023,October,10,ULTRACEMCO,8304.9,8422.25,1.4130212284314123
2023,October,10,WIPRO,405.45,381.8,-5.83302503391293
2023,November,11,ADANIENT,2217.3,2358.55,6.370360348171198
2023,November,11,ADANIPORTS,769.1,825.5,7.333246651930825
2023,November,11,APOLLOHOSP,4796.55,5528.95,15.269308148565106
2023,November,11,ASIANPAINT,2934.55,3119.9,6.316130241433947
2023,November,11,AXISBANK,971.8,1074.25,10.542292652809225
2023,November,11,BAJAJ-AUTO,5344.35,6090.55,13.962408899117756
2023,November,11,BAJAJFINSV,1572.85,1673.5,6.399211622214458
2023,November,11,BAJFINANCE,7471.9,7121.9,-4.684216865857413
2023,November,11,BEL,132.4,145.9,10.196374622356496
2023,November,11,BHARTIARTL,913.45,1014.7,11.084350539164705
2023,November,11,BPCL,178.45,217.85,22.07901372933595
2023,November,11,BRITANNIA,4397.3,4852.65,10.35521797466626
2023,November,11,CIPLA,1201.25,1212.3,0.919875130072837
2023,November,11,COALINDIA,306.65,342.15,11.576716125876407
2023,November,11,DRREDDY,1069.29,1157.63,8.261556733907561
2023,November,11,EICHERMOT,3282.25,3896.9,18.72648335745297
2023,November,11,GRASIM,1861.15,1997.51,7.32665287591005
2023,November,11,HCLTECH,1258.95,1340.9,6.509392747924861
2023,November,11,HDFCBANK,1474.5,1558.8,5.717192268565612
2023,November,11,HDFCLIFE,620.05,690.75,11.402306265623748
2023,November,11,HEROMOTOCO,3092.45,3819.05,23.495933644844715
2023,November,11,HINDALCO,462.7,515.65,11.443700021612274
2023,November,11,HINDUNILVR,2472.25,2545.55,2.964910506623528
2023,November,11,ICICIBANK,914.05,934.95,2.286526995240971
2023,November,11,INDUSINDBK,1432.6,1466.1,2.338405695937457
2023,November,11,INFY,1354.15,1455.15,7.458553336041058
