sector,yearly_return
Retail,223.09261327764563
Defence,101.7600574712644
Telecom,69.599048957095
Automobile,54.526537075105274
Energy,46.012510676382014
IT,38.27595416662726
Cement,36.37646645442659
Healthcare,32.40411866244702
Metals,29.03727290688693
Infrastructure,15.770024387914399
Financials,11.50427809650684
Consumer Goods,0.9818118963619382
